
"
"홍성읍 조양로103번길 27-6",
"홍성읍 조양로 143번길 35-12",
"홍성읍 조양로 33번길 20-18",
"홍성읍 조양로75번길 26-3",
"홍성읍 홍장북로475번길 25-18",
"홍성읍 충절로1032번길",
"홍성읍 홍성천길 하천변 우체국앞",
"홍성읍 하천변 권용타운 앞",
"홍성읍 월계천길 41-11",
"홍성읍 월계천길 41-11",
"홍성읍 충서로 1506 홍성우체국 앞 공원",
"홍성읍 충서로 1506 세광아파트",
"홍성읍 충서로1575번길 100",
"홍성읍 간동1길 64-2",
"홍성읍 충서로1707번길 366-2",
"홍성읍 의사로57번길 14-1",
"홍성읍 소향길 76-7",
"홍성읍 청기2길 2",
"홍성읍 월계1길 80",
"홍성읍 백월로117번길 77",
"홍성읍 월산로30번길 39",
"홍성읍 내포로251번길 120",
"홍성읍 충서로1301번길 9-32",
"홍성읍 옥암리 1105 코오롱아파트",
"홍성읍 충서로1159번길 18-5",
"홍성읍 남장중로 63-19",
"홍성읍 남장중로 63-19",
"홍성읍 홍장북로441번길 17",
"홍성읍 문화로72번길 92",
"홍성읍 문화로72번길 92",
"홍성읍 대학길 211-9",
"홍성읍 남학길 27",
"홍성읍 홍장북로237번길 154",
"홍성읍 충절로903번길 48",
"홍성읍 충절로1005-9",
"홍성읍 충절로873번길 64-9",
"홍성읍 대내길 177",
"홍성읍 대내길 177",
"홍성읍 충서로1707번길 90",
"홍성읍 충절로810번길 18",
"홍성읍 충절로818번길 108",
"홍성읍 송월리 홍장북로140번길 6",
"홍성읍 대학길 61",
"홍성읍 남장2리 이안아파트",
"홍성읍 남장4리 주공1차아파트",
"광천읍 오서길351번길 8-10",
"광천읍 광천리 30-6",
"광천읍 오서길351번길 8-3",
"광천읍 홍남동로183번길 124",
"광천읍 상정리 744-2",
"광천읍 홍남로 854",
"광천읍 홍남동로 147-4",
"광천읍 충서로317번길 39",
"광천읍 홍남로617번길 18",
"광천읍 광천로386번길 10",
"광천읍 가정길 124-16",
"광천읍 홍남로632번길 36",
